Street,Neighborhood,City,Size,Bedrooms,Bathrooms,Vacancies,Advertisement_Value,Square_Meter_Value,just_street,street,zip_code,latitude,longitude,Point,setor_censo
"Rua Major Alfredo Romão, 92 ",Vila Clarice,São Paulo,99,3,2,2,650000.0,3935.337673486908,rua major alfredo romão,rua major alfredo romão,5177030.0,-23.4712438,-46.7507659,POINT (-46.7507659 -23.4712438),355030863000156.0
Rua Bolívia,Jardim América,São Paulo,663,4,7,6,14500000.0,3542.2343324250683,rua bolívia,rua bolívia,13465750.0,-22.744628,-47.3444964,POINT (-47.3444964 -22.744628),
Rua General Fonseca Teles,Jardim Paulista,São Paulo,420,4,6,3,8700000.0,1725.4901960784314,rua general fonseca teles,rua general fonseca teles,1433020.0,-23.5792253,-46.6668332,POINT (-46.6668332 -23.5792253),355030845000074.0
"Rua Pataíba, 89 ",Tucuruvi,São Paulo,211,3,3,3,1237000.0,2061.855670103093,rua pataíba,rua pataíba,2342040.0,-23.474981,-46.6107707,POINT (-46.6107707 -23.474981),355030882000144.0
"Rua Doutor Milton de Souza Meirelles, 364 ",Parque Continental,São Paulo,180,3,4,4,950000.0,1666.6666666666667,rua doutor milton de souza meirelles,rua doutor milton de souza meirelles,5324020.0,-23.5376478,-46.7569181,POINT (-46.7569181 -23.5376478),355030841000024.0
"Avenida Amador Bueno da Veiga, 3272 ",Penha de França,São Paulo,150,4,1,5,510000.0,5257.798960138648,avenida amador bueno da veiga,avenida amador bueno da veiga,3636000.0,-23.5188576,-46.5121902,POINT (-46.5121902 -23.5188576),355030864000131.0
Rua Doutor Franco da Rocha,Perdizes,São Paulo,452,4,6,2,4240000.0,3449.7816593886464,rua doutor franco da rocha,rua doutor franco da rocha,13900060.0,-22.7029547,-46.7654168,POINT (-46.7654168 -22.7029547),
Rua Caetano Braga,Conjunto Residencial José Bonifácio,São Paulo,129,3,2,2,490000.0,5569.620253164557,rua caetano braga,rua caetano braga,8250490.0,-23.5351221,-46.4401156,POINT (-46.4401156 -23.5351221),355030837000117.0
Rua Francisco de Paula Brito,Planalto Paulista,São Paulo,250,3,4,4,2190000.0,4875.0,rua francisco de paula brito,rua francisco de paula brito,4071050.0,-23.6254388,-46.6518035,POINT (-46.6518035 -23.6254388),355030877000123.0
Rua dos Comerciários,Cidade Vargas,São Paulo,250,3,3,5,2180000.0,9284.704861111111,rua dos comerciários,rua dos comerciários,19816215.0,-22.6622852,-50.4032513,POINT (-50.4032513 -22.6622852),
Rua Francisco Correia Dutra,Jardim Maria Luiza,São Paulo,152,2,3,2,398000.0,5242.881072026801,rua francisco correia dutra,rua francisco correia dutra,5371070.0,-23.5833399,-46.7555926,POINT (-46.7555926 -23.5833399),355030867000087.0
Rua Joaquim de Almeida,Mirandópolis,São Paulo,192,4,2,2,950000.0,5175.817923186344,rua joaquim de almeida,rua joaquim de almeida,16074380.0,-21.1834616,-50.4516585,POINT (-50.4516585 -21.1834616),
Rua Elisa Rodrigues,Planalto Paulista,São Paulo,184,4,3,4,1390000.0,2755.555555555556,rua elisa rodrigues,rua elisa rodrigues,4058050.0,-23.6049621,-46.6503449,POINT (-46.6503449 -23.6049621),355030877000156.0
